Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,AAPL,AAPL,AAPL,AAPL,AAPL,,,
2021-09-22,2021,9,22,Wednesday,38,2021-38,141.01,142.95,140.28,142.38,76404300,0.016872619119751686,146.1914285714286,144.6914
2021-09-23,2021,9,23,Thursday,38,2021-38,143.16,143.58,142.18,143.34,64838200,0.00671906874410233,145.71642857142857,144.6506
2021-09-24,2021,9,24,Friday,38,2021-38,142.2,143.96,142.1,143.43,53477900,0.0006129606799243348,145.20214285714286,144.6246
2021-09-27,2021,9,27,Monday,39,2021-39,142.01,142.49,140.4,141.91,74150700,-0.010550125543791755,144.41285714285715,144.609
2021-09-28,2021,9,28,Tuesday,39,2021-39,139.84,141.31,138.32,138.53,108972300,-0.023801165182832484,143.49214285714285,144.6026
2021-09-29,2021,9,29,Wednesday,39,2021-39,139.08,141.01,138.65,139.43,74602000,0.006482773843416778,142.70857142857145,144.542
2021-09-30,2021,9,30,Thursday,39,2021-39,140.24,140.95,137.92,138.13,89056700,-0.009311608726831677,142.18714285714285,144.47
2021-10-01,2021,10,1,Friday,39,2021-39,138.52,139.52,135.8,139.26,94639600,0.00812703052872421,141.70642857142857,144.3934
2021-10-04,2021,10,4,Monday,40,2021-40,138.39,138.83,134.98,135.83,98322000,-0.02460541346051126,141.07999999999998,144.21380000000002
2021-10-05,2021,10,5,Tuesday,40,2021-40,136.17,138.86,136.04,137.75,80861100,0.01415842336039308,140.52785714285713,144.0642
2021-10-06,2021,10,6,Wednesday,40,2021-40,136.15,138.77,135.08,138.62,83221100,0.006306850071938985,140.05428571428573,143.9754
2021-10-07,2021,10,7,Thursday,40,2021-40,139.66,140.79,139.33,139.88,61732700,0.009084464717757479,139.8607142857143,143.9466
2021-10-08,2021,10,8,Friday,40,2021-40,140.6,140.75,139.17,139.5,58773200,-0.0027216390484844366,139.85785714285717,143.8974
2021-10-11,2021,10,11,Monday,41,2021-41,138.89,141.37,138.44,139.41,64452200,-0.0006298182518222895,139.81428571428572,143.842
